mmer1	mmer2
0	148
74	165
98	146
30	180
93	159
47	142
83	155
84	144
106	184
5	164
59	171
64	161
120	192
73	176
52	131
17	164
90	155
10	191
23	141
79	175
27	163
44	185
21	166
11	165
40	182
17	145
50	157
42	137
87	169
27	189
129	152
117	174
114	191
95	178
96	192
79	163
110	193
119	184
84	156
60	162
54	138
103	148
20	141
34	132
23	156
12	154
72	168
61	142
48	183
58	143
14	139
61	130
126	184
4	164
83	185
66	133
28	134
42	170
15	176
123	177
111	140
88	179
98	130
3	144
82	190
82	192
81	139
53	136
67	181
18	158
115	178
101	134
46	180
118	171
92	190
71	177
4	174
94	137
35	163
69	135
51	180
54	135
125	194
9	173
81	147
120	194
26	174
75	154
121	167
71	158
24	168
2	146
43	152
32	137
38	167
85	147
2	179
124	140
63	181
89	189
68	135
92	139
114	144
64	154
103	151
89	193
100	150
121	149
39	160
12	170
44	149
91	172
104	145
74	194
16	152
85	140
50	150
105	194
116	138
25	179
26	155
13	187
80	157
105	152
59	169
57	177
125	151
72	191
31	178
88	160
33	171
43	186
28	176
107	192
70	157
57	175
100	151
19	183
111	158
106	184
69	163
21	159
96	171
8	189
20	188
112	181
29	164
112	133
37	177
66	130
38	133
80	134
97	143
86	166
18	148
108	175
113	188
7	143
76	136
94	174
45	181
127	176
107	153
118	159
70	189
1	132
22	132
22	142
55	133
87	172
56	141
73	172
15	147
9	162
56	153
14	146
8	161
102	157
108	185
68	134
16	165
25	175
97	179
34	136
41	191
58	136
36	185
62	187
104	190
3	149
102	145
91	169
36	162
60	166
55	153
101	146
90	156
53	138
109	148
5	131
128	166
77	144
48	170
62	190
45	139
110	161
39	186
122	168
0	173
13	187
29	165
24	188
1	193
35	182
124	170
37	167
77	180
33	141
126	153
10	186
51	131
128	193
117	158
63	140
123	149
86	186
99	187
93	147
115	150
116	131
67	143
46	167
30	172
76	130
75	169
78	154
47	188
31	161
11	183
65	150
109	173
122	135
127	155
19	160
6	137
129	168
32	151
99	132
41	162
52	156
113	183
95	182
119	159
49	178
49	138
6	182
7	142
40	160
78	145
65	173
